Title,Authors,Contributors,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Star Rating,Review,Tags,Owned?
Beneath Devil's Bridge,Loreth Anne White,,digital,read,2023/05/19,2023-06-11,2023/06/11,1,5.0,,,No
The Widows of Malabar Hill,Sujata Massey,,digital,read,2024/01/01,2024-01-04,2024/01/04,1,5.0,,favorites,No
The Ashes and the Star-Cursed King,Carissa Broadbent,,digital,read,2023/05/08,2023-05-10,"2023/05/10, 2023/05/10",2,4.0,,,No
The Book Thief,Markus Zusak,,digital,read,2017/04/13,2017-05-10,2017/05/10,1,5.0,,favorites,No
The God of Small Things,Arundhati Roy,,paperback,read,2017/05/24,,,1,3.0,,,No
The Bride Test,Helen Hoang,,digital,read,2023/11/27,2023-11-28,2023/11/28,1,2.0,,,No
Then She Was Gone,Lisa Jewell,,hardcover,to-read,2025/02/27,,,0,,,,No
Warbreaker,Brandon Sanderson,,digital,read,2025/01/27,2025-02-06,2025/01/26-2025/02/06,1,5.0,<div>&nbsp;Worth the hype! Loved the magic system and the characters. Cannot wait for the sequel.&nbsp;</div>,favorites,No
Where the Forest Meets the Stars,Glendy Vanderah,,digital,read,2021/01/25,2022-11-10,2022/11/10,1,3.0,,,No
The Silent Patient,Alex Michaelides,,paperback,read,2021/02/05,2023-09-04,2023/09/04,1,4.0,,,No
The Wedding People,Alison Espach,,digital,to-read,2025/02/20,,,0,,,,No
The Namesake,Jhumpa Lahiri,,paperback,read,2017/07/16,,,1,4.0,,,No
Deep End,Ali Hazelwood,,paperback,to-read,2025/02/27,,,0,,,,No
A Court of Thorns and Roses,Sarah J. Maas,,digital,read,2023/12/19,2023-12-23,2023/12/23,1,3.0,,,No
The Heart Principle,Helen Hoang,,digital,read,2023/11/29,2023-12-01,2023/12/01,1,4.0,,,No
Mexican Gothic,Silvia Moreno-Garcia,,digital,read,2024/01/30,2024-07-09,2024/07/09,1,5.0,This book made it hard to put it down. Gothic literature at its finest!,,No
"Love, Theoretically",Ali Hazelwood,,digital,read,2023/12/06,2024-01-17,2024/01/17,1,4.0,,,No
The Paris Apartment,Lucy Foley,"Clare Corbett (Narrator), Julia Winwood (Narrator), Daphne Kouma (Narrator), Charlie Anson (Narrator), Sofia Zervudachi (Narrator), Sope Dirisu (Narrator)",audio,read,2024/05/26,2024-07-04,2024/07/04,1,3.0,"The author drags out the background stories of all the characters, and the 'mystery-thriller' part was rushed in the last few chapters.",,No
A Thousand Splendid Suns,Khaled Hosseini,,paperback,read,2017/04/16,,,1,5.0,,favorites,No
Weyward,Emilia Hart,,hardcover,to-read,2025/01/04,,,0,,,,No
The Family Upstairs,Lisa Jewell,"Dominic Thorburn (Narrator), Bea Holland (Narrator), Tamaryn Payne (Narrator)",audio,read,2023/06/15,2024-05-25,2024/05/25,1,3.0,,,No
The Blade Itself,Joe Abercrombie,,hardcover,to-read,2025/03/05,,,0,,,,No
The Dark Forest,Cixin Liu,Joel Martinsen (Translator),digital,read,2024/05/18,2024-08-22,2024/08/22,1,4.0,"<div>I almost DNF'd this book at 50%. After watching the disastrous last few episodes of the Netflix series I went back to reading this book so I would know how the story truly unfolds—and I’m glad I did.&nbsp;<br><br>This book is way better than the first book. Some sections bored me and I found myself skimming through them and some sections I had ""WTF, WOW!"" moments. I ended up liking the latter half of the book. The way the author has constructed this narrative is mind-boggling. Now that I've finished this one, I’m committed to completing the entire series.</div>",,No
The One,John Marrs,,hardcover,to-read,2025/03/06,,,0,,,,No
The Invisible Life of Addie LaRue,V.E. Schwab,,digital,read,2023/10/03,2024-08-03,2024/08/03,1,4.5,"<div>When I first read the summary of this book, I couldn't wait to dive into its pages. I loved reading this book. The novel explores themes of identity, memory, and the human desire to leave a mark on the world. The concept was great, but it did seem to be lacking in parts. The last few chapters were undoubtedly the best. It wasn't as amazing as I initially thought it would be, but it is worthy of a recommendation - a thought-provoking and enjoyable read.</div>",,No
Yellowface,R.F. Kuang,,digital,read,2024/02/05,2024-02-12,2024/02/12,1,4.0,,,No
The Tattooist of Auschwitz,Heather Morris,,digital,read,2023/09/06,2023-10-03,2023/10/03,1,4.0,,favorites,No
The Bombay Prince,Sujata Massey,,digital,read,2024/01/08,2024-01-11,2024/01/11,1,5.0,,,No
Babel,R.F. Kuang,,digital,read,2024/05/04,2024-05-21,2024/05/21,1,5.0,"I loved this book; it is well-researched and well-written. It was a slow start; however, as the plot evolved, the story became gripping and gut-wrenching. The author's discussions on linguistics and etymology are easily my favourite part of the book.",favorites,No
